#query seed_ortholog evalue score eggNOG_OGs max_annot_lvl COG_category Description Preferred_name GOs EC KEGG_ko KEGG_Pathway KEGG_Module KEGG_Reaction KEGG_rclass BRITE KEGG_TC CAZy BiGG_Reaction PFAMs																																																																																																																																																																																																				
AAG06273.1 287.DR97_5057 1.08e-137 390.0 COG1309@1|root	COG1309@2|Bacteria	1RGJ3@1224|Proteobacteria	1S2ZZ@1236|Gammaproteobacteria	1YF7J@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria K Bacterial regulatory proteins	tetR family pfiT - - - - - - - - - - - TetR_C_4	TetR_N																																																																																																																																																																																														
AAG06274.1 287.DR97_5055 0.0 1189.0 COG3185@1|root	COG3185@2|Bacteria	1MVR0@1224|Proteobacteria	1RR9Q@1236|Gammaproteobacteria	1YDV0@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria E Pfam:DUF1446 atuA - - - - - - - - - - - AtuA																																																																																																																																																																																																
AAG06275.1 287.DR97_5054 8.83e-209 577.0 COG1028@1|root	COG1028@2|Bacteria	1PFUB@1224|Proteobacteria	1RS3G@1236|Gammaproteobacteria	1YDJQ@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria IQ KR domain atuB - - ko:K13774 ko00281	map00281 - R08087	R08096	R10125	R10126 RC00080	RC00087 ko00000	ko00001 - - - adh_short_C2																																																																																																																																																																																										
AAG06276.1 287.DR97_5053 0.0 1054.0 COG4799@1|root	COG4799@2|Bacteria	1MVAX@1224|Proteobacteria	1RNV5@1236|Gammaproteobacteria	1YF4B@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria I Carboxyl transferase domain atuC - 6.4.1.5 ko:K13778 ko00281	map00281 - R03494 RC00367	RC00942 ko00000	ko00001	ko01000 - - - Carboxyl_trans																																																																																																																																																																																												
AAG06277.1 287.DR97_5052 4.36e-286 780.0 COG1960@1|root	COG1960@2|Bacteria	1MUDR@1224|Proteobacteria	1RW1Q@1236|Gammaproteobacteria	1YDE6@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria I Acyl-CoA dehydrogenase	middle domain atuD - - ko:K11731 ko00281	map00281 - R08089 RC01893 ko00000	ko00001	ko01000 - - - Acyl-CoA_dh_1	Acyl-CoA_dh_M	Acyl-CoA_dh_N																																																																																																																																																																																										
AAG06278.1 287.DR97_5051 2.86e-175 490.0 COG1024@1|root	COG1024@2|Bacteria	1MVEC@1224|Proteobacteria	1RP85@1236|Gammaproteobacteria	1YD4K@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria I Enoyl-CoA hydratase/isomerase atuE - 4.2.1.57 ko:K13779 ko00281	map00281 - R03493 RC00941 ko00000	ko00001	ko01000 - - - ECH_1																																																																																																																																																																																													
AAG06279.1 287.DR97_5050 0.0 1223.0 COG4770@1|root	COG4770@2|Bacteria	1P6RE@1224|Proteobacteria	1RM95@1236|Gammaproteobacteria	1YESQ@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria I Biotin carboxylase C-terminal domain mccA - 6.4.1.4	6.4.1.5 ko:K01968	ko:K13777 ko00280	ko00281	ko01100	map00280	map00281	map01100 M00036 R03494	R04138 RC00367	RC00942 ko00000	ko00001	ko00002	ko01000 - - - Biotin_carb_C	Biotin_carb_N	Biotin_lipoyl	CPSase_L_D2																																																																																																																																																																																	
AAG06280.1 287.DR97_5049 4.31e-191 531.0 COG1028@1|root	COG1028@2|Bacteria	1MUSQ@1224|Proteobacteria	1RQQ9@1236|Gammaproteobacteria	1YF1I@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria IQ Belongs to the short-chain dehydrogenases reductases (SDR) family hsdl2 - - ko:K13775 ko00281	map00281 - R08087	R08096	R10125	R10126 RC00080	RC00087 ko00000	ko00001 - - - adh_short	adh_short_C2																																																																																																																																																																																									
AAG06281.1 287.DR97_5048 0.0 1236.0 COG0318@1|root	COG0318@2|Bacteria	1MWSD@1224|Proteobacteria	1RQD3@1236|Gammaproteobacteria	1YFPM@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria IQ AMP-binding enzyme - - 6.2.1.48 ko:K02182	ko:K13776 ko00281	map00281 - R08088 RC00004	RC00014 ko00000	ko00001	ko01000	ko01004 - - - AMP-binding	AMP-binding_C																																																																																																																																																																																									
AAG06282.1 287.DR97_5047 1.21e-72 220.0 2ARKI@1|root	31GX5@2|Bacteria	1QEK9@1224|Proteobacteria	1TBBS@1236|Gammaproteobacteria	1YH7C@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria - - - - - - - - - - - - - - -																																																																																																																																																																																																
AAG06283.1 1151127.KB906331_gene3272 4.11e-13 73.9 2B17W@1|root	31TN8@2|Bacteria	1QRDE@1224|Proteobacteria	1RUC5@1236|Gammaproteobacteria	1YQN3@136843|Pseudomonas fluorescens group 1236|Gammaproteobacteria - - - - - - - - - - - - - - -																																																																																																																																																																																																
AAG06284.1 287.DR97_5045 2.3e-132 376.0 COG1595@1|root	COG1595@2|Bacteria	1N38X@1224|Proteobacteria	1SASQ@1236|Gammaproteobacteria	1YCT8@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria K Belongs to the sigma-70 factor family. ECF subfamily - - - ko:K03088 - - - - ko00000	ko03021 - - - Sigma70_r2	Sigma70_r4	Sigma70_r4_2																																																																																																																																																																																													
AAG06285.1 287.DR97_5044 0.0 954.0 COG1167@1|root	COG1167@2|Bacteria	1MV6F@1224|Proteobacteria	1RMQ0@1236|Gammaproteobacteria	1YE8R@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria K helix_turn_helix gluconate operon transcriptional repressor HA62_01445 - - - - - - - - - - - Aminotran_1_2	GntR																																																																																																																																																																																															
AAG06287.1 287.DR97_5042 5.93e-149 419.0 COG2197@1|root	COG2197@2|Bacteria	1QF0B@1224|Proteobacteria	1TC0N@1236|Gammaproteobacteria	1YJKV@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria KT helix_turn_helix	Lux Regulon - - - - - - - - - - - - GerE	Response_reg																																																																																																																																																																																														
AAG06288.1 287.DR97_5041 1.6e-179 501.0 COG2885@1|root	COG2885@2|Bacteria	1N97C@1224|Proteobacteria	1S8TJ@1236|Gammaproteobacteria	1YET1@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria M Domain of unknown function (DUF4398) - - - - - - - - - - - - DUF4398	OmpA																																																																																																																																																																																															
AAG06289.1 287.DR97_5040 1.27e-65 201.0 29VG5@1|root	30GXK@2|Bacteria	1QEA9@1224|Proteobacteria	1TAV1@1236|Gammaproteobacteria	1YGKN@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria S Domain of unknown function (DUF4398) - - - - - - - - - - - - DUF4398																																																																																																																																																																																																
AAG06290.1 287.DR97_5039 1.4e-200 555.0 COG0834@1|root	COG0834@2|Bacteria	1RAPU@1224|Proteobacteria	1S3HX@1236|Gammaproteobacteria	1YD1G@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria ET Amino acid ABC transporter substrate-binding protein - - - ko:K02030 - M00236 - - ko00000	ko00002	ko02000 3.A.1.3 - - SBP_bac_3																																																																																																																																																																																														
AAG06291.1 287.DR97_5038 0.0 1060.0 COG1010@1|root	COG2073@1|root	COG1010@2|Bacteria	COG2073@2|Bacteria	1MU79@1224|Proteobacteria	1RPC2@1236|Gammaproteobacteria	1YCTR@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria H Cobalamin synthesis G N-terminal cobJ - 2.1.1.130	2.1.1.131	3.7.1.12 ko:K05934	ko:K13540	ko:K13541 ko00860	ko01100	map00860	map01100 - R03948	R05180	R05808	R05809	R07772 RC00003	RC01035	RC01293	RC01545	RC01662	RC02097	RC03471 ko00000	ko00001	ko01000 - - - CbiG_N	TP_methylase																																																																																																																																																																										
AAG06292.1 287.DR97_5037 3.99e-177 493.0 COG2243@1|root	COG2243@2|Bacteria	1MV3G@1224|Proteobacteria	1SYBT@1236|Gammaproteobacteria	1YDQW@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria H Tetrapyrrole (Corrin/Porphyrin) Methylases cobI - 2.1.1.130	2.1.1.151 ko:K03394 ko00860	ko01100	map00860	map01100 - R03948	R05808 RC00003	RC01035	RC01662 ko00000	ko00001	ko01000 - - - TP_methylase																																																																																																																																																																																							
AAG06293.1 287.DR97_5036 4.32e-140 396.0 COG2082@1|root	COG2082@2|Bacteria	1MX1E@1224|Proteobacteria	1RYUX@1236|Gammaproteobacteria	1YFB1@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria H Precorrin-8X methylmutase cobH - 5.4.99.60	5.4.99.61 ko:K06042 ko00860	ko01100	map00860	map01100 - R05177	R05814 RC01292	RC01980 ko00000	ko00001	ko01000 - - - CbiC																																																																																																																																																																																								
AAG06294.1 287.DR97_5035 0.0 875.0 COG0155@1|root	COG0155@2|Bacteria	1N541@1224|Proteobacteria	1SKQB@1236|Gammaproteobacteria	1YDS7@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria P Nitrite and sulphite reductase 4Fe-4S domain cobG - 1.14.13.83 ko:K02229 ko00860	ko01100	map00860	map01100 - R05217 RC01979 ko00000	ko00001	ko01000 - - - NIR_SIR	NIR_SIR_ferr																																																																																																																																																																																										
AAG06295.1 287.DR97_5034 1.52e-303 827.0 COG2241@1|root	COG2242@1|root	COG2241@2|Bacteria	COG2242@2|Bacteria	1MVJX@1224|Proteobacteria	1RPJG@1236|Gammaproteobacteria	1YCXH@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria H precorrin-6y C5	15-methyltransferase cobL - 2.1.1.132	2.1.1.196 ko:K00595	ko:K02191 ko00860	ko01100	map00860	map01100 - R05149	R05813	R07774 RC00003	RC01279	RC02052	RC02054 ko00000	ko00001	ko01000 - - - MTS	Methyltransf_31	PCMT	TP_methylase																																																																																																																																																																														
AAG06296.1 287.DR97_5033 3.56e-259 711.0 COG1903@1|root	COG1903@2|Bacteria	1MXU3@1224|Proteobacteria	1S016@1236|Gammaproteobacteria	1YF0A@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria H Catalyzes the methylation of C-1 in cobalt-precorrin-5B to form cobalt-precorrin-6A cbiD - 2.1.1.195 ko:K02188 ko00860	ko01100	map00860	map01100 - R07773 RC00003	RC02051 ko00000	ko00001	ko01000 - - - CbiD																																																																																																																																																																																										
AAG06297.1 287.DR97_5032 6.13e-175 487.0 COG2099@1|root	COG2099@2|Bacteria	1MW48@1224|Proteobacteria	1S0P4@1236|Gammaproteobacteria	1YD16@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria H Precorrin-6x reductase CbiJ/CobK cobK - 1.3.1.106	1.3.1.54 ko:K05895 ko00860	ko01100	map00860	map01100 - R05150	R05812 RC01280 ko00000	ko00001	ko01000 - - - CbiJ																																																																																																																																																																																									
AAG06298.1 287.DR97_5031 1.26e-125 358.0 COG1971@1|root	COG1971@2|Bacteria	1NWBY@1224|Proteobacteria	1RR6R@1236|Gammaproteobacteria	1YG14@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria P Putative manganese efflux pump mntP - - - - - - - - - - - Mntp																																																																																																																																																																																																
AAG06299.1 287.DR97_5030 0.0 1445.0 COG4774@1|root	COG4774@2|Bacteria	1MV0X@1224|Proteobacteria	1S1IP@1236|Gammaproteobacteria	1YFFQ@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria P receptor - - - ko:K02014 - - - - ko00000	ko02000 1.B.14 - - Plug	TonB_dep_Rec																																																																																																																																																																																														
AAG06300.1 287.DR97_5029 4.33e-187 519.0 COG1120@1|root	COG1120@2|Bacteria	1MUNG@1224|Proteobacteria	1RQ6C@1236|Gammaproteobacteria	1YDYE@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria HP ATPases associated with a variety of cellular activities - - 3.6.3.34 ko:K02013 ko02010	map02010 M00240 - - ko00000	ko00001	ko00002	ko01000	ko02000 3.A.1.14 - - ABC_tran																																																																																																																																																																																											
AAG06301.1 287.DR97_5028 8.4e-234 643.0 COG0614@1|root	COG0614@2|Bacteria	1MVBY@1224|Proteobacteria	1RQZ2@1236|Gammaproteobacteria	1YEFW@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria P Periplasmic binding protein - - - ko:K02016 ko02010	map02010 M00240 - - ko00000	ko00001	ko00002	ko02000 3.A.1.14 - - Peripla_BP_2																																																																																																																																																																																												
AAG06302.1 287.DR97_5027 4.44e-230 635.0 COG0609@1|root	COG0609@2|Bacteria	1MV9W@1224|Proteobacteria	1RSJR@1236|Gammaproteobacteria	1YFNA@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria P Belongs to the binding-protein-dependent transport system permease family. FecCD subfamily - - - ko:K02015 ko02010	map02010 M00240 - - ko00000	ko00001	ko00002	ko02000 3.A.1.14 - - FecCD																																																																																																																																																																																												
AAG06303.1 287.DR97_5026 8.24e-214 589.0 COG0491@1|root	COG0491@2|Bacteria	1MURA@1224|Proteobacteria	1RN27@1236|Gammaproteobacteria	1YDWM@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria S Metallo-beta-lactamase superfamily blh - - - - - - - - - - - Lactamase_B																																																																																																																																																																																																
AAG06304.1 287.DR97_5025 2.41e-127 363.0 COG1280@1|root	COG1280@2|Bacteria	1R5P8@1224|Proteobacteria	1S8JG@1236|Gammaproteobacteria	1YGJ0@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria E LysE type translocator - - - - - - - - - - - - LysE																																																																																																																																																																																																
AAG06305.1 287.DR97_5024 3.54e-192 534.0 COG2207@1|root	COG2207@2|Bacteria	1R46K@1224|Proteobacteria	1RNCY@1236|Gammaproteobacteria	1YKQM@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria K AraC-like ligand binding domain - - - - - - - - - - - - AraC_binding	HTH_18																																																																																																																																																																																															
AAG06306.1 287.DR97_5023 6.52e-173 483.0 COG1028@1|root	COG1028@2|Bacteria	1QMHJ@1224|Proteobacteria	1RR78@1236|Gammaproteobacteria	1YINJ@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria IQ KR domain - - 1.1.1.159 ko:K00076 ko00121	map00121 - - - ko00000	ko00001	ko01000 - - - adh_short_C2																																																																																																																																																																																													
AAG06307.1 287.DR97_5022 3.92e-50 159.0 2E628@1|root	330RC@2|Bacteria	1N6W8@1224|Proteobacteria	1SF6P@1236|Gammaproteobacteria 1236|Gammaproteobacteria - - - - - - - - - - - - - - -																																																																																																																																																																																																	
AAG06308.1 287.DR97_5021 0.0 877.0 COG0840@1|root	COG0840@2|Bacteria	1MU9B@1224|Proteobacteria	1RMH0@1236|Gammaproteobacteria	1YD64@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria NT chemotaxis	protein - - - ko:K03406 ko02020	ko02030	map02020	map02030 - - - ko00000	ko00001	ko02035 - - - 4HB_MCP_1	HAMP	MCPsignal																																																																																																																																																																																								
AAG06309.1 287.DR97_5020 4.88e-224 618.0 COG0583@1|root	COG0583@2|Bacteria	1P2I1@1224|Proteobacteria	1SYD9@1236|Gammaproteobacteria	1YKVB@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria K LysR substrate binding domain - - - - - - - - - - - - HTH_1	LysR_substrate																																																																																																																																																																																															
AAG06310.1 287.DR97_5019 5.76e-288 785.0 COG1473@1|root	COG1473@2|Bacteria	1MUIV@1224|Proteobacteria	1RQAM@1236|Gammaproteobacteria	1YDSY@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria S Peptidase dimerisation domain hipO - 3.5.1.32 ko:K01451 ko00360	map00360 - R01424 RC00096	RC00162 ko00000	ko00001	ko01000	ko01002 - - - M20_dimer	Peptidase_M20																																																																																																																																																																																										
AAG06311.1 287.DR97_5018 1.69e-186 518.0 COG0834@1|root	COG0834@2|Bacteria	1NT2J@1224|Proteobacteria	1S077@1236|Gammaproteobacteria	1YEK3@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria ET Ligated ion channel L-glutamate- and glycine-binding site aotJ - - ko:K09997	ko:K10014	ko:K10022 ko02010	map02010 M00226	M00229	M00235 - - ko00000	ko00001	ko00002	ko02000 3.A.1.3.1	3.A.1.3.11	3.A.1.3.3 - - SBP_bac_3																																																																																																																																																																																						
AAG06312.1 287.DR97_5017 8.62e-155 435.0 COG4215@1|root	COG4215@2|Bacteria	1MY2N@1224|Proteobacteria	1RNYD@1236|Gammaproteobacteria	1YFN0@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria P Binding-protein-dependent transport system inner membrane component hisQ GO:0003333	GO:0003674	GO:0005215	GO:0005287	GO:0005290	GO:0005291	GO:0005342	GO:0005575	GO:0005623	GO:0005886	GO:0006810	GO:0006811	GO:0006812	GO:0006820	GO:0006855	GO:0006865	GO:0008150	GO:0008324	GO:0008509	GO:0008514	GO:0015075	GO:0015171	GO:0015174	GO:0015179	GO:0015238	GO:0015318	GO:0015711	GO:0015802	GO:0015807	GO:0015849	GO:0015893	GO:0016020	GO:0022857	GO:0034220	GO:0042221	GO:0042493	GO:0043090	GO:0044464	GO:0045117	GO:0046942	GO:0046943	GO:0050896	GO:0051179	GO:0051234	GO:0055085	GO:0071702	GO:0071705	GO:0071944	GO:0089709	GO:0089718	GO:0098655	GO:0098656	GO:0098657	GO:0098739	GO:1901474	GO:1902475	GO:1903810	GO:1903825	GO:1905039	GO:1990822 - ko:K10016	ko:K10024 ko02010	map02010 M00225	M00226	M00235 - - ko00000	ko00001	ko00002	ko02000 3.A.1.3.1	3.A.1.3.11 - iSbBS512_1146.SbBS512_E2686 BPD_transp_1																																																																																																																													
AAG06313.1 287.DR97_5016 3.69e-169 472.0 COG4160@1|root	COG4160@2|Bacteria	1MWI6@1224|Proteobacteria	1RPT1@1236|Gammaproteobacteria	1YDXQ@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria E Binding-protein-dependent transport system inner membrane component hisM GO:0005575	GO:0005623	GO:0005886	GO:0006810	GO:0006811	GO:0006820	GO:0006865	GO:0008150	GO:0015711	GO:0015849	GO:0016020	GO:0044464	GO:0046942	GO:0051179	GO:0051234	GO:0071702	GO:0071705	GO:0071944 - ko:K10015	ko:K10023 ko02010	map02010 M00225	M00226	M00235 - - ko00000	ko00001	ko00002	ko02000 3.A.1.3.1	3.A.1.3.11 - iAF1260.b2307	iAPECO1_1312.APECO1_4257	iB21_1397.B21_02192	iBWG_1329.BWG_2081	iE2348C_1286.E2348C_2447	iEC55989_1330.EC55989_2551	iECABU_c1320.ECABU_c26390	iECBD_1354.ECBD_1352	iECB_1328.ECB_02232	iECDH10B_1368.ECDH10B_2469	iECDH1ME8569_1439.ECDH1ME8569_2245	iECD_1391.ECD_02232	iECED1_1282.ECED1_2771	iECH74115_1262.ECH74115_3447	iECIAI1_1343.ECIAI1_2383	iECIAI39_1322.ECIAI39_2456	iECNA114_1301.ECNA114_2397	iECO103_1326.ECO103_2771	iECO111_1330.ECO111_3055	iECO26_1355.ECO26_3295	iECOK1_1307.ECOK1_2540	iECP_1309.ECP_2346	iECS88_1305.ECS88_2454	iECSE_1348.ECSE_2616	iECSF_1327.ECSF_2183	iECSP_1301.ECSP_3182	iECW_1372.ECW_m2496	iECs_1301.ECs3191	iEKO11_1354.EKO11_1458	iETEC_1333.ETEC_2443	iEcDH1_1363.EcDH1_1349	iEcE24377_1341.EcE24377A_2601	iEcSMS35_1347.EcSMS35_2463	iEcolC_1368.EcolC_1345	iG2583_1286.G2583_2844	iJO1366.b2307	iJR904.b2307	iLF82_1304.LF82_1007	iNRG857_1313.NRG857_11685	iSDY_1059.SDY_2506	iSFV_1184.SFV_2374	iSF_1195.SF2383	iSFxv_1172.SFxv_2628	iSSON_1240.SSON_2365	iS_1188.S2518	iSbBS512_1146.SbBS512_E2685	iUMN146_1321.UM146_05275	iUMNK88_1353.UMNK88_2858	iUTI89_1310.UTI89_C2591	iWFL_1372.ECW_m2496	iY75_1357.Y75_RS12100	ic_1306.c2849 BPD_transp_1																																																																																																																				
AAG06314.1 287.DR97_5015 3.67e-178 496.0 COG4598@1|root	COG4598@2|Bacteria	1QTS2@1224|Proteobacteria	1RQYN@1236|Gammaproteobacteria 1236|Gammaproteobacteria E abc transporter atp-binding protein hisP - 3.6.3.21 ko:K10017 ko02010	map02010 M00225	M00226 - - ko00000	ko00001	ko00002	ko01000	ko02000 3.A.1.3.1 - iECIAI39_1322.ECIAI39_2455	iPC815.YPO2777	iYL1228.KPN_02696	iZ_1308.Z3568 ABC_tran																																																																																																																																																																																								
AAG06315.1 287.DR97_5014 0.0 882.0 COG2267@1|root	COG2267@2|Bacteria	1QTUW@1224|Proteobacteria	1T1I0@1236|Gammaproteobacteria 1236|Gammaproteobacteria I carboxylic ester hydrolase activity - - - - - - - - - - - - -																																																																																																																																																																																																	
AAG06317.1 287.DR97_5012 2.06e-136 387.0 COG1280@1|root	COG1280@2|Bacteria	1RD4I@1224|Proteobacteria	1RPRS@1236|Gammaproteobacteria	1YG1K@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria E LysE type translocator - - - - - - - - - - - - LysE																																																																																																																																																																																																
AAG06318.1 287.DR97_5011 7.09e-223 614.0 COG0583@1|root	COG0583@2|Bacteria	1QFR1@1224|Proteobacteria	1RMND@1236|Gammaproteobacteria	1YDS4@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria K LysR substrate binding domain trpI - - - - - - - - - - - HTH_1	LysR_substrate																																																																																																																																																																																															
AAG06319.1 287.DR97_5010 6.48e-136 385.0 COG1309@1|root	COG1309@2|Bacteria	1NCEF@1224|Proteobacteria	1RQ8N@1236|Gammaproteobacteria	1YH55@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria K Bacterial regulatory proteins	tetR family - - - ko:K16137	ko:K22041 - - - - ko00000	ko03000 - - - TetR_N																																																																																																																																																																																													
AAG06320.1 287.DR97_5009 8.47e-264 723.0 COG1902@1|root	COG1902@2|Bacteria	1MVIX@1224|Proteobacteria	1RMFI@1236|Gammaproteobacteria	1YEG5@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria C NADH flavin oxidoreductases	Old Yellow Enzyme family - - - ko:K10680 ko00633	ko01120	map00633	map01120 - R08014	R08017	R08042 RC00250 ko00000	ko00001	ko01000 - - - Oxidored_FMN																																																																																																																																																																																								
AAG06321.1 287.DR97_5008 1.93e-251 693.0 COG0477@1|root	COG2814@2|Bacteria	1MU9G@1224|Proteobacteria 1224|Proteobacteria EGP Involved in the efflux of sugars. The physiological role may be the reduction of the intracellular concentration of toxic sugars or sugar metabolites - - - - - - - - - - - - MFS_1																																																																																																																																																																																																		
AAG06322.1 287.DR97_5007 4.03e-239 656.0 COG0596@1|root	COG0596@2|Bacteria	1N5ZI@1224|Proteobacteria	1S3RK@1236|Gammaproteobacteria	1YCRG@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria S Alpha/beta hydrolase family - - - ko:K22318 - - - - ko00000 - - - Abhydrolase_1																																																																																																																																																																																																
AAG06324.1 287.DR97_5004 1.54e-137 389.0 COG3038@1|root	COG3038@2|Bacteria	1PC4M@1224|Proteobacteria	1S32I@1236|Gammaproteobacteria 1236|Gammaproteobacteria C Cytochrome B561 - - - ko:K12262 - - - - ko00000 - - - Ni_hydr_CYTB																																																																																																																																																																																																	
AAG06325.1 287.DR97_5003 1.4e-56 176.0 2ARDD@1|root	31GPF@2|Bacteria	1QED9@1224|Proteobacteria	1TAZT@1236|Gammaproteobacteria	1YGTP@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria - - - - - - - - - - - - - - -																																																																																																																																																																																																
AAG06326.1 287.DR97_5002 0.0 893.0 COG2233@1|root	COG2233@2|Bacteria	1MUN9@1224|Proteobacteria	1RMGW@1236|Gammaproteobacteria	1YFQW@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria F Permease family - - - - - - - - - - - - Xan_ur_permease																																																																																																																																																																																																
AAG06327.1 287.DR97_5001 0.0 1065.0 COG2234@1|root	COG2234@2|Bacteria	1MV86@1224|Proteobacteria	1S10R@1236|Gammaproteobacteria	1YFBT@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria S PA domain - - - - - - - - - - - - PA	Peptidase_M28																																																																																																																																																																																															
AAG06328.1 287.DR97_5000 2.06e-260 715.0 COG0183@1|root	COG0183@2|Bacteria	1MU5G@1224|Proteobacteria	1RM93@1236|Gammaproteobacteria	1YFE5@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria I Thiolase	N-terminal domain - - 2.3.1.16 ko:K00632 ko00071	ko00280	ko00281	ko00362	ko00592	ko00642	ko01100	ko01110	ko01120	ko01130	ko01212	map00071	map00280	map00281	map00362	map00592	map00642	map01100	map01110	map01120	map01130	map01212 M00087	M00113 R00829	R00927	R01177	R03778	R03858	R03991	R04546	R04742	R04747	R05506	R05586	R07891	R07895	R07899	R08091	R08095 RC00004	RC00326	RC00405	RC01702	RC02728	RC02898	RC02955 ko00000	ko00001	ko00002	ko01000 - - - Thiolase_C	Thiolase_N																																																																																																																																																
AAG06329.1 287.DR97_4999 8.66e-127 362.0 COG1240@1|root	COG1240@2|Bacteria	1N2XK@1224|Proteobacteria	1SVKE@1236|Gammaproteobacteria	1YG10@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria H von Willebrand factor type A domain chlD - - ko:K13580 - - - - ko00000 - - - VWA_2																																																																																																																																																																																																
AAG06330.1 287.DR97_4998 3.76e-224 620.0 COG1239@1|root	COG1239@2|Bacteria	1MVD4@1224|Proteobacteria	1RRMQ@1236|Gammaproteobacteria	1YCRQ@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria H Magnesium chelatase	subunit ChlI bchI - 6.6.1.1 ko:K03404	ko:K03405 ko00860	ko01100	ko01110	map00860	map01100	map01110 - R03877 RC01012 ko00000	ko00001	ko01000 - - - AAA_5	Mg_chelatase	VWA_2																																																																																																																																																																																					
AAG06331.1 287.DR97_4997 8.73e-259 709.0 COG0722@1|root	COG0722@2|Bacteria	1MU5Q@1224|Proteobacteria	1RMAA@1236|Gammaproteobacteria	1YCVZ@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria E Stereospecific condensation of phosphoenolpyruvate (PEP) and D-erythrose-4-phosphate (E4P) giving rise to 3-deoxy-D- arabino-heptulosonate-7-phosphate (DAHP) aroF - 2.5.1.54 ko:K01626 ko00400	ko01100	ko01110	ko01130	ko01230	ko02024	map00400	map01100	map01110	map01130	map01230	map02024 M00022 R01826 RC00435 ko00000	ko00001	ko00002	ko01000 - - - DAHP_synth_1																																																																																																																																																																																		
AAG06332.1 287.DR97_4996 0.0 2528.0 COG1429@1|root	COG1429@2|Bacteria	1MU5W@1224|Proteobacteria	1RQED@1236|Gammaproteobacteria	1YEJ1@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria H CobN/Magnesium Chelatase cobN - 6.6.1.2 ko:K02230 ko00860	ko01100	map00860	map01100 - R05227 RC02000 ko00000	ko00001	ko01000 - - - CobN-Mg_chel																																																																																																																																																																																											
AAG06333.1 287.DR97_4995 1.49e-238 658.0 COG0523@1|root	COG0523@2|Bacteria	1MVZV@1224|Proteobacteria	1RPHD@1236|Gammaproteobacteria	1YFKV@136841|Pseudomonas aeruginosa group 1236|Gammaproteobacteria S Cobalamin synthesis protein cobW C-terminal domain cobW - - ko:K02234 - - - - ko00000	ko00001 - - - CobW_C	cobW																																																																																																																																																																																														
